FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.13
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,1.0
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.0
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,3.65
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.03
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,4,10076.34
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,9,72.35000000000001
2024,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,4.54
2024,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,1,4.41
2024,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,3,0.35
2024,AUG,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.18
2024,AUG,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Methamphetamine,1,44.09
2024,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,5,13.19
2024,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,2,3.86
2024,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,5,187.64
2024,AUG,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,56.21
2024,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.12
2024,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,0.25
2024,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Fentanyl,1,0.01
2024,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,10.76
2024,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,0.99
2024,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,0.95
2024,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,3,59.17
2024,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,1.25
2024,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,5.11
2024,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,11.02
2024,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,5.07
2024,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,0.0
2024,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,0.04
2024,DEC,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,3,0.39
2024,DEC,Air and Marine Operations,Northern Border,Other,Bellingham Air Branch,Cocaine,1,2793.23
2024,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.35
2024,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,2.01
2024,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,0.07
2024,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,0.0
2024,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.24
2024,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,34.79
2024,DEC,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,3.97
2024,DEC,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.2
2024,DEC,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,170.86
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,1521.17
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Fentanyl,1,46.85
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Methamphetamine,1,19.84
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,384.37
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,1147.59
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.02
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,1,0.04
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,6,13.03
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,2092.17
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,1834.23
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,9411.44
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Cocaine,1,0.1
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Fentanyl,3,0.3399999999999999
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Methamphetamine,2,0.73
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.0
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.13
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,2.27
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.62
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,11,28.21
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,3,3.79
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,166.52
2024,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,1.44
2024,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,0.0
2024,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,46.84
2024,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,4,14.25
2024,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,2,1.1
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,1.09
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.09
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,110.23
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,5.95
2024,FEB,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Cocaine,1,0.19
2024,FEB,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Fentanyl,1,6.61
2024,FEB,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Methamphetamine,1,0.01
2024,FEB,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,11.02
2024,FEB,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,23.25
2024,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,4,193.53
2024,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,3,0.23
2024,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,5,0.16
2024,FEB,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,5,25.18
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,25.37
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,4.74
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Marijuana,5,10.99
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,6.5600000000000005
2024,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,1,0.79
2024,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Marijuana,1,1.76
2024,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,5.73
2024,FEB,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,1,479.94
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,629.85
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.0
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,1,0.0
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,5866.43
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,7341.32
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,3,1931.76
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.25
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,7.5
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,1.1
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,1.01
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,519.15
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,3071.01
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,1.06
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,77.98
2024,JAN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,1,1.42
2024,JAN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,1,0.0
2024,JAN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,1,0.0
2024,JAN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,2.0
2024,JAN,Air and Marine Operations,Northern Border,Other,Bellingham Air Branch,Cocaine,1,2623.47
2024,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,25.49
2024,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.03
2024,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.0
2024,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,0.32
2024,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,1,0.24
2024,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,45.41
2024,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,3,8.34
2024,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.59
2024,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,1.1
2024,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.01
2024,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,21.78
2024,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,4.2
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,3,6.08
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,0.0
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Marijuana,4,7.54
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,1.01
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,510.81
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,54.23
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,6347.12
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,7,4.1
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,1,0.04
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,2445.35
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,3919.83
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,2603.63
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.02
2024,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.01
2024,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,5,7.14
2024,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,53.83
2024,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,0.07
2024,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,4,1.18
2024,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,0.03
2024,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,5,5.87
2024,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.21
2024,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,1.09
2024,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,0.49
2024,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,3,14.08
2024,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,2,4.98
2024,JUL,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,9.1
2024,JUL,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.0
2024,JUL,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,4.37
2024,JUL,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,37.48
2024,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,4,904.51
2024,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,0.33
2024,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,73.23
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,4.4
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,2028.23
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Houston,Cocaine,1,3418.01
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,176.37
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,1100.1
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,1.51
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.43
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,25.250000000000004
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,12.35
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,13,94.08
2024,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,9.3
2024,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,7,0.68
2024,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,3,0.1
2024,JUN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,1,0.22
2024,JUN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Methamphetamine,1,0.37
2024,JUN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,1,0.01
2024,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,2.34
2024,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,3,0.9300000000000002
2024,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,3,0.5
2024,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.07
2024,JUN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,1,0.01
2024,JUN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,2,29.98
2024,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,5.51
2024,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,1,2.2
2024,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,5,96.31000000000002
2024,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,41.67
2024,JUN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.93
2024,JUN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,1.19
2024,JUN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,9,410.66
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,5224.9
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.0
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,14812.71
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Houston,Cocaine,4,16751.66
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,9446.27
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,0.24
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,2,0.19
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,0.62
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,2,0.6100000000000001
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,0.31
2024,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.32
2024,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,12,6.069999999999999
2024,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,4,74.14
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,2.89
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,4,0.34
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,2,0.0
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,0.95
2024,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,0.13
2024,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,0.71
2024,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,2,72.88
2024,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,3,12.61
2024,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,0.2
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,1.28
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,1,0.06
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,4,0.52
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,4,1.95
2024,MAR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,0.0
2024,MAR,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,3,4293.17
2024,MAR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.31
2024,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,0.12
2024,MAR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,1,2233.26
2024,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,2,85.98
2024,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,2.2
2024,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,5,25.3
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,2,2031.9
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,2592.61
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,13.45
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,6827.650000000001
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,74.96
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,6444.93
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,2.01
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.06
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,3.4
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,2.09
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,3.3100000000000005
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,6,34.43
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.01
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,3,0.79
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,222.44
2024,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,24.86
2024,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,0.51
2024,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,10.21
2024,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,1,2.2
2024,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,1,6.5
2024,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,8,76.51
2024,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.04
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,3,14.510000000000002
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,6,3.83
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.06
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,6.72
2024,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,3,11.17
2024,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Heroin,1,0.02
2024,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.69
2024,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.04
2024,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Marijuana,1,0.04
2024,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Marijuana,1,11287.55
2024,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.0
2024,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,0.01
2024,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,4.25
2024,MAY,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,1.85
2024,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.56
2024,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marijuana,1,1.11
2024,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,3.1500000000000004
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,22.05
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,4,875.26
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.31
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,2,27.98
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,2.2
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,11276.53
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,8741.24
2024,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,533.71
2024,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,4,0.14
2024,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.0
2024,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,7,0.89
